date,amount,balance
6/11/2019,-6.006,2792.013
6/11/2019,-2.3058,2786.007
6/11/2019,-46.2378,2783.7012
6/9/2019,-71.3916,2737.4634
6/9/2019,-56.7,2666.0718
6/7/2019,-1.6884,2609.3718
6/8/2019,-2.0244,2607.6834
6/9/2019,-6.7284,2605.659
6/9/2019,-6.0018,2598.9306
6/8/2019,-20.4036,2592.9288
6/7/2019,-88.2,2572.5252
6/9/2019,-88.3218,2484.3252
6/7/2019,-1.365,2396.0034
6/7/2019,-11.403,2394.6384
6/8/2019,-0.4158,2383.2354
6/8/2019,-40.1688,2382.8196
6/7/2019,-25.2,2342.6508
6/6/2019,-24.171,2317.4508
6/6/2019,-26.6994,2293.2798
6/6/2019,-18.4716,2266.5804
6/6/2019,-62.16,2248.1088
6/6/2019,-37.8,2185.9488
6/4/2019,-35.7,2148.1488
6/5/2019,-26.0274,2112.4488
6/5/2019,-64.26,2086.4214
6/5/2019,-10.8696,2022.1614
6/4/2019,-1.827,2011.2918
6/4/2019,-1.8732,2009.4648
6/4/2019,-0.651,2007.5916
6/3/2019,-1.8732,2006.9406
6/3/2019,-19.7694,2005.0674
6/2/2019,-23.5998,1985.298
6/3/2019,-4.62,1961.6982
6/3/2019,-12.6,2005.0674
6/3/2019,-13.86,1992.4674
6/1/2019,-1618.47,1978.6074
6/2/2019,-46.2294,360.1374
6/2/2019,-10.5,313.908
6/1/2019,-8.4,303.408
6/1/2019,-21,295.008
6/2/2019,-5.04,274.008
6/1/2019,-15.4518,268.968
5/31/2019,-23.793,253.5162
6/3/2019,-6.9132,229.7232
6/2/2019,-58.7034,222.81
6/2/2019,-30.0342,164.1066
6/1/2019,-4.3806,134.0724
6/1/2019,-6.72,129.6918
5/31/2019,-13.44,122.9718
5/31/2019,-4.368,109.5318
5/31/2019,-5.5734,105.1638
5/31/2019,-2.772,99.5904
5/31/2019,-0.651,96.8184
5/31/2019,-0.924,96.1674
5/31/2019,-6.1446,47.2542
5/30/2019,-2.016,41.1096
5/31/2019,2337.51,39.0936
5/29/2019,-25.4394,2376.6036
5/30/2019,-6.3,2351.1642
5/28/2019,-6.7032,2344.8642
5/29/2019,-0.651,2338.161
5/28/2019,-205.716,2337.51
5/28/2019,-496.9734,2131.794
5/28/2019,-8.4,1634.8206
5/29/2019,-16.7958,1626.4206
5/29/2019,-1.7346,1609.6248
5/29/2019,-3.8556,1607.8902
5/29/2019,-3.57,1604.0346
5/29/2019,-7.392,1600.4646
5/27/2019,-50.4,1593.0726
5/27/2019,-5.04,1542.6726
5/27/2019,-18.48,1537.6326
5/28/2019,-10.185,1519.1526
5/27/2019,-10.5,1508.9676
5/27/2019,-8.4,1498.4676
5/27/2019,-27.216,1490.0676
5/28/2019,-2.9568,1462.8516
5/28/2019,-8.1858,1459.8948
5/26/2019,-5.04,1451.709
5/26/2019,-16.758,1446.669
5/27/2019,-0.84,1429.911
5/27/2019,-116.76,1429.071
5/27/2019,-4.3638,1312.311
5/26/2019,-8.4,1307.9472
5/26/2019,-7.9338,1299.5472
5/27/2019,-19.0386,1291.6134
5/26/2019,-38.64,1272.5748
5/26/2019,-4.326,1233.9348
5/25/2019,18.9,1229.6088
5/26/2019,-8.4,1248.5088
5/25/2019,-2.52,1240.1088
5/25/2019,-2.31,1237.5888
5/24/2019,-2.94,1235.2788
5/26/2019,-11.3106,1232.3388
5/25/2019,-63.6972,1221.0282
5/26/2019,-28.56,1157.331
5/24/2019,-42,1128.771
5/23/2019,-16.8,1086.771
5/25/2019,-2.52,1069.971
5/25/2019,-0.84,1067.451
5/25/2019,-1.47,1066.611
5/25/2019,-42,1065.141
5/25/2019,-8.4,1023.141
5/25/2019,-50.5764,1014.741
5/26/2019,-10.6218,964.1646
5/25/2019,-4.7166,953.5428
5/26/2019,-21.6846,948.8262
5/25/2019,-6.5184,927.1416
5/25/2019,-22.659,920.6232
5/24/2019,-3.36,897.9642
5/24/2019,-3.4482,894.6042
5/23/2019,-18.48,891.156
5/23/2019,-58.8,872.676
5/24/2019,-11.9616,813.876
5/24/2019,-18.9,801.9144
5/23/2019,-5.0358,783.0144
5/24/2019,-6.93,777.9786
5/24/2019,-5.439,771.0486
5/24/2019,-4.41,765.6096
5/23/2019,-6.9258,761.1996
5/22/2019,-26.7456,754.2738
5/22/2019,-10.7226,727.5282
5/24/2019,-5.88,716.8056
5/23/2019,-6.3,710.9256
5/23/2019,-0.84,704.6256
5/22/2019,-2.1966,703.7856
5/22/2019,-1.8732,701.589
5/22/2019,-0.924,699.7158
5/22/2019,-6.5184,698.7918
5/21/2019,-2.1966,692.2734
5/21/2019,-18.9,690.0768
5/21/2019,-1.8732,671.1768
5/21/2019,-0.651,669.3036
5/21/2019,-0.924,668.6526
5/21/2019,-24.36,667.7286
5/22/2019,-6.573,643.3686
5/21/2019,-3.15,636.7956
5/20/2019,-5.04,633.6456
5/20/2019,-1.8732,628.6056
5/20/2019,-0.924,626.7324
5/20/2019,-6.5226,625.8084
5/19/2019,-11.3358,619.2858
5/21/2019,-5.3592,607.95
5/19/2019,-27.3,602.5908
5/19/2019,-39.9,575.2908
5/19/2019,-1.8018,535.3908
5/18/2019,-1.8018,533.589
5/18/2019,-14.2212,531.7872
5/18/2019,-19.383,517.566
5/19/2019,-3.696,498.183
5/19/2019,-18.0348,494.487
5/18/2019,-4.3512,476.4522
5/16/2019,-3.276,472.101
5/17/2019,-1.2012,468.825
5/17/2019,-2.772,467.6238
5/16/2019,-40.32,464.8518
5/17/2019,-11.9238,424.5318
5/17/2019,-3.78,412.608
5/17/2019,-4.6158,408.828
5/17/2019,-3.8682,404.2122
5/16/2019,23.121,400.344
5/16/2019,947.961,423.465
5/15/2019,-23.94,1371.426
5/16/2019,-56.7,1347.486
5/16/2019,-42,1290.786
5/15/2019,-2.772,1248.786
5/15/2019,-0.651,1246.014
5/15/2019,-4.7586,1245.363
5/15/2019,-5.0652,1240.6044
5/15/2019,-5.3214,1235.5392
5/15/2019,3360,1230.2178
5/14/2019,-3.3264,4590.2178
5/13/2019,-9.6096,4586.8914
5/14/2019,-3.57,4577.2818
5/13/2019,-5.8674,4573.7118
5/12/2019,-19.4544,4567.8444
5/12/2019,-1.827,4548.39
5/12/2019,-1.05,4546.563
5/12/2019,-9.4668,4545.513
5/11/2019,-18.4338,4536.0462
5/12/2019,-56.7,4517.6124
5/12/2019,-29.1354,4460.9124
5/12/2019,-6.3546,4431.777
5/12/2019,-9.2442,4425.4224
5/12/2019,-3.3852,4416.1782
